Date,Open,High,Low,Close,Adj Close,Volume
2017-07-11,146.559998,147.389999,146.270004,147.250000,144.526382,29300
2017-07-12,148.309998,149.419998,148.300003,149.320007,146.558090,12500
2017-07-13,149.520004,149.990005,149.199997,149.479996,146.715134,9600
2017-07-14,150.009995,150.830002,149.429993,150.679993,147.892929,34500
2017-07-17,150.839996,151.119995,150.449997,150.750000,147.961655,19300
2017-07-18,150.479996,151.800003,150.210007,151.759995,148.952957,17200
2017-07-19,152.009995,152.889999,151.899994,152.660004,149.836288,16600
2017-07-20,153.149994,153.559998,152.369995,152.940002,150.111130,16000
2017-07-21,152.179993,152.729996,152.110001,152.600006,149.777435,15200
2017-07-24,152.619995,153.350006,152.449997,153.220001,150.385986,16900
2017-07-25,152.779999,153.309998,152.360001,153.139999,150.307434,26900
2017-07-26,153.600006,153.820007,153.100006,153.449997,150.611679,10600
